               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12488,             0.02601,             0.03046,                   0,                   0,                   0,                   0,             0.10833,            0.024933,            0.028827,              0.0013,              0.0013,              0.0883
                   1,              0.1041,            0.023447,            0.026693,           0.0022233,            0.022727,          0.00018637,          4.6235e-05,            0.093875,             0.02271,            0.025424,           0.0026465,           0.0026465,            0.075647
                   2,            0.091008,            0.022476,            0.023982,           0.0025929,             0.25108,           0.0028653,          0.00061233,            0.075688,            0.020931,            0.021985,           0.0039376,           0.0039376,            0.062938
                   3,            0.080611,            0.021191,             0.02183,          0.00015737,            0.045455,          8.0402e-05,          1.9555e-05,            0.099114,            0.016644,            0.018055,           0.0051733,           0.0051733,            0.050173
                   4,            0.083376,            0.020607,            0.017897,            0.034479,             0.16669,             0.03595,            0.007584,            0.084308,            0.015541,            0.012094,           0.0063535,           0.0063535,            0.037354
                   5,             0.07666,            0.018532,            0.014468,              0.2605,             0.65915,             0.39276,             0.11645,            0.070623,            0.015158,           0.0088139,           0.0074783,           0.0074783,            0.024478
                   6,            0.075616,             0.01648,            0.012613,             0.27465,             0.59957,             0.27336,             0.13701,            0.076479,            0.013975,           0.0096684,           0.0085476,           0.0085476,            0.011548
                   7,            0.066975,            0.018442,            0.010963,             0.35679,             0.55303,             0.34989,            0.082288,            0.074365,            0.013468,           0.0068103,            0.008614,            0.008614,            0.008614
                   8,            0.069586,            0.017039,           0.0088067,             0.47137,             0.67355,             0.44152,             0.15309,             0.08501,            0.012649,           0.0039127,            0.008614,            0.008614,            0.008614
                   9,             0.06278,             0.01643,           0.0075633,             0.61971,             0.72294,             0.67098,             0.23297,            0.076435,            0.011495,           0.0042245,            0.008416,            0.008416,            0.008416
                  10,            0.058018,            0.014941,           0.0070944,              0.6928,             0.74351,             0.70902,             0.36644,            0.051154,             0.01438,           0.0054725,            0.008218,            0.008218,            0.008218
                  11,             0.04971,            0.013959,           0.0067804,             0.80022,             0.76948,             0.84942,             0.29858,            0.054042,            0.013123,           0.0029731,             0.00802,             0.00802,             0.00802
                  12,            0.047194,            0.013395,           0.0042886,             0.66073,             0.95298,             0.86493,             0.50281,            0.058239,            0.012171,            0.001869,            0.007822,            0.007822,            0.007822
