               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10871,            0.041505,                   0,            0.055412,             0.33333,             0.03721,             0.00597,             0.06704,            0.040051,                   0,              0.0018,              0.0018,              0.0838
                   1,            0.073076,            0.037765,                   0,             0.14766,             0.69106,             0.17353,            0.072164,            0.067705,            0.029114,                   0,           0.0036084,           0.0036084,            0.066608
                   2,            0.070895,             0.02745,                   0,             0.73589,             0.77236,             0.75638,             0.23655,            0.060201,             0.03706,                   0,           0.0053228,           0.0053228,            0.049323
                   3,             0.06969,            0.024639,                   0,              0.6534,             0.68293,              0.7207,             0.25016,            0.065984,            0.029803,                   0,           0.0069431,           0.0069431,            0.031943
                   4,            0.066991,            0.021556,                   0,             0.32784,             0.47967,             0.30152,            0.067289,            0.057241,            0.023091,                   0,           0.0084694,           0.0084694,            0.014469
                   5,            0.064523,            0.024728,                   0,             0.50559,             0.69838,             0.57484,             0.12433,             0.05219,            0.028812,                   0,           0.0087625,           0.0087625,           0.0087625
                   6,            0.057622,            0.020762,                   0,             0.31039,             0.74797,             0.33471,             0.13086,            0.059021,            0.025371,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.051842,            0.018977,                   0,              0.5618,             0.88596,             0.76493,             0.31245,            0.036349,             0.02062,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.049755,            0.019102,                   0,             0.84575,             0.71545,             0.78883,             0.19089,            0.045241,            0.022268,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.045572,            0.017586,                   0,              0.8695,             0.81253,             0.86504,             0.24184,            0.042346,             0.02081,                   0,             0.00802,             0.00802,             0.00802
                  10,             0.04182,            0.017215,                   0,             0.86034,             0.90244,             0.93406,             0.44071,            0.032658,            0.020066,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.037063,             0.01571,                   0,             0.90903,             0.97489,             0.93495,             0.58527,            0.024853,            0.016632,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.035508,            0.016077,                   0,             0.94332,             0.95122,             0.97853,             0.50757,            0.027455,            0.016327,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.033426,            0.015502,                   0,             0.94444,             0.96738,             0.97799,             0.62615,            0.025705,            0.015815,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.031863,            0.014987,                   0,             0.95161,             0.95922,             0.97889,              0.5533,            0.030154,            0.017185,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.033429,            0.015397,                   0,             0.92241,             0.96748,             0.97158,             0.70369,            0.023877,            0.017779,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.029016,            0.014229,                   0,             0.93023,             0.97557,             0.97704,             0.67803,            0.022372,            0.016464,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.029239,            0.014301,                   0,             0.96678,             0.95122,             0.98265,             0.72316,            0.022615,            0.015608,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.026984,            0.014494,                   0,             0.95849,             0.94309,             0.98322,             0.68022,            0.022431,            0.016044,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,            0.029958,            0.014488,                   0,             0.96694,              0.9511,             0.98444,             0.73368,            0.021653,            0.016044,                   0,            0.005545,            0.005545,            0.005545
                  20,             0.02585,            0.013342,                   0,               0.959,             0.95088,             0.98043,              0.7145,             0.02162,            0.016493,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.027477,            0.013572,                   0,             0.95076,             0.94309,             0.97961,             0.69157,            0.024883,            0.016092,                   0,             0.00505,             0.00505,             0.00505
                  22,            0.025061,            0.013718,                   0,               0.944,             0.95932,             0.97856,              0.7205,            0.021676,            0.015747,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,            0.025497,            0.013135,                   0,             0.95892,             0.95935,             0.98067,             0.74136,            0.019575,            0.015263,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.023626,            0.012582,                   0,             0.96718,             0.95935,             0.98298,             0.74272,            0.020431,            0.015134,                   0,           0.0043075,           0.0043075,           0.0043075
