               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10522,            0.040769,                   0,            0.084263,              0.5122,            0.071382,            0.016525,            0.056774,            0.041593,                   0,              0.0018,              0.0018,              0.0838
                   1,            0.073836,            0.037524,                   0,             0.54833,              0.6909,             0.51788,             0.14578,            0.059293,            0.025342,                   0,           0.0036084,           0.0036084,            0.066608
                   2,            0.067628,            0.025118,                   0,             0.77748,             0.68177,             0.80236,             0.47997,            0.060261,            0.026408,                   0,           0.0053228,           0.0053228,            0.049323
                   3,            0.066042,            0.021066,                   0,             0.76113,             0.57724,              0.6802,             0.18179,            0.054542,            0.022743,                   0,           0.0069431,           0.0069431,            0.031943
                   4,            0.064559,            0.020549,                   0,             0.77135,             0.77236,             0.78904,              0.2659,            0.049834,            0.020356,                   0,           0.0084694,           0.0084694,            0.014469
                   5,            0.059393,              0.0216,                   0,             0.36556,             0.88539,             0.37438,             0.10978,            0.046872,            0.022904,                   0,           0.0087625,           0.0087625,           0.0087625
                   6,            0.050234,            0.022752,                   0,              0.5957,             0.80488,             0.71625,             0.29136,            0.039753,            0.019328,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.044487,            0.018129,                   0,             0.88882,             0.84497,             0.90904,             0.49199,            0.037962,            0.019155,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.043065,            0.017769,                   0,             0.78472,              0.9187,             0.79956,             0.33905,            0.036586,            0.021378,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.041507,            0.017071,                   0,               0.879,             0.95122,             0.95205,             0.43544,            0.034353,            0.017177,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.036271,            0.015735,                   0,             0.88776,             0.83596,             0.93015,             0.36069,            0.033303,            0.019417,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.037109,             0.01397,                   0,             0.92854,             0.95076,             0.96795,             0.50553,            0.032688,            0.016756,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.037545,            0.014489,                   0,             0.93688,             0.96748,             0.97446,             0.39177,            0.036167,            0.018244,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.037603,            0.014693,                   0,             0.92091,             0.95122,             0.96363,              0.5034,             0.03083,            0.017554,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.033424,            0.013724,                   0,             0.93698,              0.9671,              0.9733,             0.52084,            0.027759,            0.016734,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.028603,            0.013763,                   0,               0.952,             0.96738,             0.97484,             0.66969,            0.022112,            0.016774,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.027084,            0.012959,                   0,             0.95199,             0.96748,             0.96717,             0.64324,            0.026146,            0.017541,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.027742,            0.012779,                   0,             0.95199,             0.96734,             0.97044,             0.71159,            0.021529,            0.016942,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.023429,            0.013174,                   0,             0.95195,             0.96748,             0.97865,             0.72184,            0.019826,            0.017846,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,            0.024489,            0.011792,                   0,             0.95967,             0.96733,              0.9789,             0.73524,            0.020415,            0.016216,                   0,            0.005545,            0.005545,            0.005545
                  20,            0.024976,            0.012589,                   0,             0.94531,             0.98374,             0.98187,             0.74475,            0.022476,            0.015762,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.022663,            0.012233,                   0,              0.9593,             0.95935,             0.98289,             0.75638,            0.020767,            0.016441,                   0,             0.00505,             0.00505,             0.00505
                  22,            0.023196,            0.011937,                   0,             0.95899,             0.95122,             0.98561,             0.72954,            0.022328,             0.01614,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,            0.022458,            0.012146,                   0,             0.93798,             0.98367,             0.98502,             0.75231,            0.018773,            0.016091,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.022334,            0.011698,                   0,             0.94481,             0.97561,             0.98434,             0.73686,             0.02166,            0.016298,                   0,           0.0043075,           0.0043075,           0.0043075
                  25,            0.022328,            0.011992,                   0,             0.95219,             0.97561,             0.98505,              0.7261,            0.023018,            0.015864,                   0,             0.00406,             0.00406,             0.00406
                  26,            0.021413,               0.013,                   0,             0.94531,             0.98366,             0.98428,             0.75624,            0.020766,            0.015643,                   0,           0.0038125,           0.0038125,           0.0038125
                  27,            0.019176,            0.011162,                   0,             0.94483,             0.97561,             0.98256,             0.76971,            0.019856,            0.016254,                   0,            0.003565,            0.003565,            0.003565
                  28,            0.018628,            0.010377,                   0,             0.95158,             0.95935,             0.98156,             0.75839,            0.020695,            0.016419,                   0,           0.0033175,           0.0033175,           0.0033175
                  29,            0.018852,            0.010832,                   0,             0.95161,             0.95923,             0.98007,             0.76221,            0.020491,            0.017017,                   0,             0.00307,             0.00307,             0.00307
                  30,            0.017483,             0.01057,                   0,             0.91729,              0.9918,             0.98178,              0.7735,            0.019747,             0.01723,                   0,           0.0028225,           0.0028225,           0.0028225
                  31,            0.017297,            0.010248,                   0,             0.95837,             0.94309,             0.98526,             0.77356,            0.019247,            0.016835,                   0,            0.002575,            0.002575,            0.002575
                  32,            0.016599,           0.0098579,                   0,             0.93023,             0.97556,             0.98562,             0.77918,            0.019387,            0.017054,                   0,           0.0023275,           0.0023275,           0.0023275
                  33,             0.01714,            0.010536,                   0,             0.96659,             0.94309,             0.98746,             0.78661,            0.019398,             0.01677,                   0,             0.00208,             0.00208,             0.00208
                  34,            0.016632,            0.010794,                   0,             0.95117,             0.95122,             0.98495,             0.78287,            0.019032,            0.017123,                   0,           0.0018325,           0.0018325,           0.0018325
                  35,            0.016457,           0.0099361,                   0,             0.95934,             0.95909,             0.98518,             0.78848,            0.018911,            0.016684,                   0,            0.001585,            0.001585,            0.001585
                  36,            0.015189,           0.0097152,                   0,             0.95894,             0.95122,             0.98372,             0.78764,            0.018617,             0.01705,                   0,           0.0013375,           0.0013375,           0.0013375
                  37,            0.015399,           0.0094887,                   0,             0.95116,             0.95122,             0.98222,             0.78477,            0.018565,            0.017256,                   0,             0.00109,             0.00109,             0.00109
                  38,            0.016187,           0.0098397,                   0,             0.94333,             0.95122,             0.98203,              0.7888,            0.018531,            0.017601,                   0,           0.0008425,           0.0008425,           0.0008425
                  39,            0.015553,           0.0090668,                   0,             0.95868,             0.94303,             0.98291,             0.78689,            0.018452,            0.017838,                   0,            0.000595,            0.000595,            0.000595
